,tick,beta,eps,rewards,vels
0,10,-0.3193009470435976,1.0308744151098375,2.452767867952499,3.725612398534519
1,20,-4.503358221211482,1.3157599118613499,1.6415336881266611,4.948849789539949
2,30,3.60681132007905,1.2419156802604432,-18.291621497177925,3.5818770353865634
3,40,-3.794036670115743,0.7063225143017561,2.185730662988541,4.619669117911021
4,50,-12.927429688694403,0.50553109644087,3.3482162784510474,5.612923002561028
5,60,-17.742838345064822,0.3170692138704023,3.778408409334966,5.95181423643926
6,70,-31.505869591295216,-0.03348467834814941,4.759319056713828,5.718200408900712
7,80,-49.085399069485824,-0.5872608216378319,6.621817727877323,5.1468334195869785
8,90,-38.945928436905916,-0.79009002222494,-15.162183560254856,3.502915088234282
9,100,-1.3555190049217687,0.938721376041742,2.50258501289925,3.824208923224286
10,110,3.9109779508142055,0.8974928857905667,2.2695904197958714,4.415090021646202
11,120,-16.0748241509327,0.32021843841021785,2.839568729828353,4.664237511730051
12,130,-42.07672623526787,-0.7090962830270737,5.049277050686068,4.237411360284848
13,140,-36.29828676505119,-0.40559378647868993,-16.012216165909845,3.0738437221630037
14,150,-0.5608490256539277,0.7175646583690153,2.0411116940652967,3.921397315318215
15,160,-8.476275361580736,0.3171599790581493,2.3876878597957942,5.036429326736558
16,170,-27.312781351703638,-0.4720551130002908,3.610761398632219,5.226980845944032
17,180,-43.19820611109775,-1.0165941675685288,-15.208349505542028,3.4332040360666136
18,190,4.86840989180183,0.9090351755547945,2.0759686718010073,3.147912104180346
19,200,-8.983951866693776,0.6917114054235951,2.928652085911905,4.1708583012602345
20,210,-2.5825823412985396,0.581352192185007,2.2660621382191675,4.599574812700249
21,220,-15.366969441161526,0.11793508085220474,2.846015405989708,4.470752818628433
22,230,-40.74115206277968,-0.47962571847977786,5.451276229833938,4.263337748141029
23,240,-35.07794345443653,-1.197352963105016,3.8525470876195427,3.637623067510508
24,250,-22.963216168712258,-0.09871156723292614,-17.303347528366942,2.8940920765411318
25,260,-9.652843982971369,1.526370932162565,1.3724539493841785,3.5643803125617315
26,270,0.5178242809083239,1.1301810005341004,-17.834338047085275,2.822759616889649
27,280,-2.206496315383345,0.9865519533893288,2.394168614843901,3.5065452569053153
28,290,-1.309340978789404,1.317136975867077,1.7282027938672888,4.570810795417535
29,300,15.028541113940685,1.5906518701624408,2.8758046484111817,4.585806822029263
